date;Marketcap
2017-08-21;144539000000
2017-08-22;139192000000
2017-08-23;153845000000
2017-08-24;153122000000
2017-08-25;156237000000
2017-08-26;153909000000
2017-08-27;156251000000
2017-08-28;158472000000
2017-08-29;164820000000
2017-08-30;166673000000
2017-08-31;170426000000
2017-09-01;176067000000
2017-09-02;163769000000
2017-09-03;163040000000
2017-09-04;146848000000
2017-09-05;149860000000
2017-09-06;163137000000
2017-09-07;163378000000
2017-09-08;163427000000
2017-09-09;146454000000
2017-09-10;146156000000
2017-09-11;146093000000
2017-09-12;151017000000
2017-09-13;133759000000
2017-09-14;112630000000
2017-09-15;126208000000
2017-09-16;122806000000
2017-09-17;123339000000
2017-09-18;137567000000
2017-09-19;137941000000
2017-09-20;134858000000
2017-09-21;128799000000
2017-09-22;124042000000
2017-09-23;129570000000
2017-09-24;128834000000
2017-09-25;136127000000
2017-09-26;136259000000
2017-09-27;141719000000
2017-09-28;145800000000
2017-09-29;143046000000
2017-09-30;147978000000
2017-10-01;146421000000
2017-10-02;148923000000
2017-10-03;145039000000
2017-10-04;142978000000
2017-10-05;145890000000
2017-10-06;147657000000
2017-10-07;147970000000
2017-10-08;152461000000
2017-10-09;151390000000
2017-10-10;153286000000
2017-10-11;155150000000
2017-10-12;163322000000
2017-10-13;173389000000
2017-10-14;175007000000
2017-10-15;169247000000
2017-10-16;172941000000
2017-10-17;172590000000
2017-10-18;174986000000
2017-10-19;169431000000
2017-10-20;173042000000
2017-10-21;173473000000
2017-10-22;170415000000
2017-10-23;167304000000
2017-10-24;165129000000
2017-10-25;169276000000
2017-10-26;172381000000
2017-10-27;168672000000
2017-10-28;168776000000
2017-10-29;171985000000
2017-10-30;177398000000
2017-10-31;181991000000
2017-11-01;184855000000
2017-11-02;192658000000
2017-11-03;199757000000
2017-11-04;200024000000
2017-11-05;199124000000
2017-11-06;200154000000
2017-11-07;195052000000
2017-11-08;203203000000
2017-11-09;205686000000
2017-11-10;199428000000
2017-11-11;200746000000
2017-11-12;197784000000
2017-11-13;210474000000
2017-11-14;206267000000
2017-11-15;218888000000
2017-11-16;226080000000
2017-11-17;227485000000
2017-11-18;232033000000
2017-11-19;233891000000
2017-11-20;243534000000
2017-11-21;240757000000
2017-11-22;245820000000
2017-11-23;254920000000
2017-11-24;263930000000
2017-11-25;267555000000
2017-11-26;285508000000
2017-11-27;300425000000
2017-11-28;312376000000
2017-11-29;330967000000
2017-11-30;294956000000
2017-12-01;318391000000
2017-12-02;331070000000
2017-12-03;336813000000
2017-12-04;337876000000
2017-12-05;354774000000
2017-12-06;385038000000
2017-12-07;398210000000
2017-12-08;412989000000
2017-12-09;438854000000
2017-12-10;380666000000
2017-12-11;439592000000
2017-12-12;466531000000
2017-12-13;490898000000
2017-12-14;517805000000
2017-12-15;530516000000
2017-12-16;549063000000
2017-12-17;587790000000
2017-12-18;607729000000
2017-12-19;603593000000
2017-12-20;613516000000
2017-12-21;591339000000
2017-12-22;491205000000
2017-12-23;578914000000
2017-12-24;527278000000
2017-12-25;548370000000
2017-12-26;592275000000
2017-12-27;585123000000
2017-12-28;561773000000
